"State","County","HPI","Personal_Income","Poverty_Percentage","Population","HighSchoolLess","HighSchoolOnly","SomeCollege","BachelorAndHigher","Unemployment_Rate"
"AL","Autauga","135.30",43917,12.1,55869,11.5,33.6,28.4,26.6,2.7
"AL","Baldwin","165.43",47485,10.1,223234,9.2,27.7,31.3,31.9,2.7
"AL","Barbour","116.60",35763,27.1,24686,26.8,35.6,26,11.6,3.8
"AL","Bibb","142.07",31725,20.3,22394,20.9,44.9,23.8,10.4,3.1
"AL","Blount","133.42",36412,16.3,57826,19.5,33.4,34,13.1,2.7
"AL","Butler","123.79",37523,21.6,19448,15,45.2,23.7,16.1,3.6
"AL","Calhoun","136.39",38394,17.2,113605,15.6,32.8,33.2,18.5,3.5
"AL","Chambers","132.83",35900,19.6,33254,18.4,36.7,31.6,13.3,2.9
"AL","Cherokee","148.42",36432,15.9,26196,18.4,40.3,28.6,12.8,2.9
"AL","Chilton","130.91",36188,16,44428,18.2,44.4,24.6,12.7,2.7
"AL","Clarke","140.88",37965,18.4,23622,19.4,41.8,26.6,12.2,5.8
"AL","Cleburne","140.07",35791,13.3,14910,21,38,25.6,15.4,3.2
"AL","Coffee","144.55",43979,15,52342,14.1,27.2,35.9,22.8,2.9
"AL","Colbert","144.09",39679,14.6,55241,14.8,37.8,29.2,18.1,3.7
"AL","Covington","136.40",36756,17.2,37049,16.6,37.3,30.8,15.3,3.4
"AL","Crenshaw","153.90",37118,16.8,13772,20.8,39.5,22.3,17.4,2.8
"AL","Cullman","139.61",40818,12.2,83768,18.4,34.1,33.6,13.9,2.6
"AL","Dale","137.70",37853,18.1,49172,13.9,32.3,35.7,18.1,3.1
"AL","Dallas","117.43",38362,26,37196,18.2,35.9,31.2,14.7,5.5
"AL","Elmore","135.15",44316,11.4,81209,13.4,32.5,29.1,25.1,2.6
"AL","Escambia","151.62",34432,20.5,36633,18.9,43.7,24.9,12.5,3.5
"AL","Etowah","136.09",38326,18.8,102268,15.4,32.9,33.9,17.8,3.3
"AL","Fayette","134.32",36465,17,16302,17.4,41.3,28.9,12.4,3.1
"AL","Franklin","145.25",35292,16.1,31362,22.8,36.6,26.6,14,2.8
"AL","Geneva","150.02",36848,16.1,26271,19.7,36,31.8,12.5,2.9
"AL","Hale","123.67",38207,20.5,14651,16,43.4,26.4,14.2,3.9
"AL","Henry","143.17",43502,17.2,17205,20.6,32.6,29.8,17.1,3.6
